ptt,location,tagType,ccl,deployDate,time,hookLoc,hookType,hookDetail,removed
13107,Hawaii,MT,74.5,29 Apr 02,3,Shallow,J,Circle Jaw hooked, Y
55663,Hawaii,MT,62,19 Jan 06,4,Shallow,Circle,Flipper hooked, Y
55675,Hawaii,MT,66,17 Dec 05,5,Deep*,Circle,Ingested hook, N
55680,Hawaii,MT,61,30 Jan 06,7,Deep*,Circle,Ingested hook, N
55661,Hawaii,MT,64.5,10 Jan 06,13,Shallow,Circle,Shallow Jaw hooked, Y
55670,Hawaii,MT,84,5 Mar 06,26,Deep*,Circle,Ingested hook, N
55681,Hawaii,MT,61,24 Feb 05,30,Shallow,Circle,Shallow jaw hooked, Y
29682,Calif,WC,58.5,9 Nov 03,30,Deep*,J,Ingested hook, N
55667,Hawaii,MT,73.5,17 Mar 06,35,Shallow*,Circle,Flipper hooked, Y
55669,Hawaii,MT,59,14 Mar 06,42,Shallow,Circle,Shallow jaw hooked, Y
55678,Hawaii,MT,61.5,23 Feb 05,47,Shallow,Circle,Flipper hooked, Y
20548,Calif,WC,57,10 Nov 03,51,Shallow,J,Shallow mouth hooked, Y
55671,Hawaii,MT,58,18 Feb 05,53,Shallow,Circle,Entangled in line, Y
55659,Hawaii,MT,66,21 Feb 05,54,Shallow,Circle,Entangled in line, Y
20544,Calif,WC,67.5,27 Jan 04,55,Shallow,J,Flipper hooked, Y
21134,Calif,WC,40,13 Feb 03,55,Deep,J,Ingested hook, N
55668,Hawaii,MT,59.5,7 Jan 06,60,Shallow,Circle,Flipper hooked, Y
44201,Calif,MT,61,6 Jan 04,69,Deep*,J,Ingested hook, N
13193,Calif,WC,61.5,28 Jan 04,85,Deep*,J,Ingested hook, N
55662,Hawaii,MT,60.5,15 Nov 05,95,Shallow,Circle,Shallow jaw hooked, Y
44195,Hawaii,MT,60.5,17 Feb 05,127,Shallow,Circle,Flipper hooked, Y
22052,Calif,WC,65.5,11 Feb 03,148,Deep,J,Ingested hook, N
44193,Calif,MT,52.5,7 Jan 04,177,Deep,J,Ingested hook, N
21288,Calif,WC,62,15 Jan 03,192,Deep,J,Ingested hook, N
44196,Calif,MT,66,11 Jan 04,243,Deep,J,Ingested hook, N
22269,Calif,WC,64.5,2 Dec 02,--,Shallow,J,Flipper hooked, Y
21119,Calif,WC,73,4 Feb 04,--,Deep,J,Ingested hook, N
20780,Calif,WC,62,5 Feb 04,--,Deep,J,Ingested hook, N
46565,Hawaii,MT,54,27 Jan 05,--,Shallow,Circle,Shallow jaw hooked, Y
